checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
none,18,existing AND duly paid,radio OR tv,1473, ... < 100, ... < 1y,3,male : married,none,4,real estate,39,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,18,critical account,business,1887,unknown OR no savings account,1 <= ... < 4y,4,male : married,none,4,real estate,28,bank,own,2,skilled employed OR official ,1,no,yes,1
none,24,delayed,business,8648, ... < 100, ... < 1y,2,male : single,none,2,car OR other,27,bank,own,2,skilled employed OR official ,1,yes,yes,2
none,14,delayed,car (new),802, ... < 100,1 <= ... < 4y,4,male : single,none,2,car OR other,27,none,own,2,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,18,delayed,car (new),2899,unknown OR no savings account,7y <= ...,4,male : single,none,4,car OR other,43,none,own,1,skilled employed OR official ,2,no,yes,1
 0 <= ... <= 200,24,existing AND duly paid,radio OR tv,2039, ... < 100, ... < 1y,1,male : married,none,1,society savings agreement OR life insurance,22,none,own,1,skilled employed OR official ,1,yes,yes,2
none,24,critical account,car (used),2197,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,4,car OR other,43,none,own,2,skilled employed OR official ,2,yes,yes,1
negative,15,existing AND duly paid,radio OR tv,1053, ... < 100, ... < 1y,4,male : married,none,2,real estate,27,none,own,1,skilled employed OR official ,1,no,no,1
none,24,existing AND duly paid,radio OR tv,3235,500 <= ... < 1000,7y <= ...,3,male : separated OR divorced,none,2,car OR other,26,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
200 < ...,12,critical account,car (new),939,500 <= ... < 1000,4 <= ... < 7y,4,male : married,none,2,real estate,28,none,own,3,skilled employed OR official ,1,yes,yes,2
 0 <= ... <= 200,24,existing AND duly paid,radio OR tv,1967, ... < 100,7y <= ...,4,female : married OR separated OR divorced,none,4,car OR other,20,none,own,1,skilled employed OR official ,1,yes,yes,1
none,33,critical account,car (used),7253, ... < 100,4 <= ... < 7y,3,male : single,none,2,car OR other,35,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,12,critical account,business,2292, ... < 100,unemployed,4,male : single,none,2,car OR other,42,stores,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,10,existing AND duly paid,car (new),1597,500 <= ... < 1000,1 <= ... < 4y,3,male : single,none,2,none OR unknown,40,none,rent,1,unskilled - resident,2,no,no,1
negative,24,existing AND duly paid,car (new),1381,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,35,none,own,1,skilled employed OR official ,1,no,yes,2
none,36,critical account,car (used),5842, ... < 100,7y <= ...,2,male : single,none,2,society savings agreement OR life insurance,35,none,own,2,skilled employed OR official ,2,yes,yes,1
negative,12,existing AND duly paid,car (new),2579, ... < 100, ... < 1y,4,male : single,none,1,real estate,33,none,own,1,unskilled - resident,2,no,yes,2
negative,18,delayed,education,8471,unknown OR no savings account,1 <= ... < 4y,1,female : married OR separated OR divorced,none,2,car OR other,23,none,rent,2,skilled employed OR official ,1,yes,yes,1
none,21,existing AND duly paid,car (new),2782,500 <= ... < 1000,4 <= ... < 7y,1,female : married OR separated OR divorced,none,2,car OR other,31,bank,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
 0 <= ... <= 200,18,existing AND duly paid,car (new),1042,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,33,none,own,1,skilled employed OR official ,1,no,yes,2
none,15,existing AND duly paid,car (new),3186,1000 <= ...,4 <= ... < 7y,2,female : married OR separated OR divorced,none,3,car OR other,20,none,rent,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,car (used),2028,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,2,car OR other,30,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,critical account,car (new),958, ... < 100,4 <= ... < 7y,2,male : single,none,3,real estate,47,none,own,2,unskilled - resident,2,no,yes,1
none,21,delayed,furniture,1591,100 <= ... < 500,4 <= ... < 7y,4,male : single,none,3,real estate,34,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,furniture,2762,unknown OR no savings account,7y <= ...,1,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,25,bank,own,1,skilled employed OR official ,1,yes,yes,2
 0 <= ... <= 200,18,existing AND duly paid,car (used),2779, ... < 100,1 <= ... < 4y,1,male : married,none,3,car OR other,21,none,rent,1,skilled employed OR official ,1,yes,yes,1
none,28,critical account,radio OR tv,2743, ... < 100,7y <= ...,4,male : single,none,2,car OR other,29,none,own,2,skilled employed OR official ,1,no,yes,1
none,18,critical account,radio OR tv,1149,1000 <= ...,1 <= ... < 4y,4,male : single,none,3,real estate,46,none,own,2,skilled employed OR official ,1,no,yes,1
none,9,existing AND duly paid,furniture,1313, ... < 100,7y <= ...,1,male : single,none,4,car OR other,20,none,own,1,skilled employed OR official ,1,no,yes,1
negative,18,critical account,repairs,1190, ... < 100,unemployed,2,female : married OR separated OR divorced,none,4,none OR unknown,55,none,for free,3,unemployed OR unskilled - non-resident,2,no,yes,2
none,5,existing AND duly paid,business,3448, ... < 100,4 <= ... < 7y,1,male : single,none,4,real estate,74,none,own,1,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,24,existing AND duly paid,other,11328, ... < 100,1 <= ... < 4y,2,male : single,co-applicant,3,car OR other,29,bank,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
negative,6,critical account,furniture,1872, ... < 100,unemployed,4,male : single,none,4,none OR unknown,36,none,for free,3,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,24,critical account,repairs,2058, ... < 100,1 <= ... < 4y,4,male : separated OR divorced,none,2,real estate,33,none,own,2,skilled employed OR official ,1,yes,yes,1
negative,9,existing AND duly paid,furniture,2136, ... < 100,1 <= ... < 4y,3,male : single,none,2,real estate,25,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1484,unknown OR no savings account,1 <= ... < 4y,2,male : married,none,1,real estate,25,none,own,1,skilled employed OR official ,1,yes,yes,2
none,6,existing AND duly paid,repairs,660,500 <= ... < 1000,4 <= ... < 7y,2,male : married,none,4,real estate,23,none,rent,1,unskilled - resident,1,no,yes,1
none,24,critical account,car (new),1287,1000 <= ...,7y <= ...,4,female : married OR separated OR divorced,none,4,real estate,37,none,own,2,skilled employed OR official ,1,yes,yes,1
negative,42,critical account,repairs,3394, ... < 100,unemployed,4,male : single,co-applicant,4,car OR other,65,none,own,2,unemployed OR unskilled - non-resident,1,no,yes,1
200 < ...,12,duly paid,business,609, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,real estate,26,none,own,1,unemployed OR unskilled - non-resident,1,no,yes,2
none,12,existing AND duly paid,car (new),1884, ... < 100,7y <= ...,4,male : single,none,4,car OR other,39,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,12,existing AND duly paid,furniture,1620, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,co-applicant,3,society savings agreement OR life insurance,30,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,20,delayed,other,2629, ... < 100,1 <= ... < 4y,2,male : single,none,3,car OR other,29,bank,own,2,skilled employed OR official ,1,yes,yes,1
none,12,existing AND duly paid,education,719, ... < 100,7y <= ...,4,male : single,none,4,car OR other,41,bank,own,1,unskilled - resident,2,no,yes,2
 0 <= ... <= 200,48,critical account,furniture,5096, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,3,car OR other,30,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,9,critical account,education,1244,unknown OR no savings account,7y <= ...,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,41,none,rent,2,unskilled - resident,1,no,yes,1
negative,36,existing AND duly paid,car (new),1842, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,car OR other,34,none,own,1,skilled employed OR official ,1,yes,yes,2
 0 <= ... <= 200,7,existing AND duly paid,radio OR tv,2576, ... < 100,1 <= ... < 4y,2,male : single,guarantor,2,real estate,35,none,own,1,skilled employed OR official ,1,no,yes,1
200 < ...,12,existing AND duly paid,furniture,1424,unknown OR no savings account,7y <= ...,3,female : married OR separated OR divorced,none,4,real estate,55,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
 0 <= ... <= 200,15,delayed,repairs,1512,1000 <= ...,1 <= ... < 4y,3,male : married,none,3,society savings agreement OR life insurance,61,stores,own,2,skilled employed OR official ,1,no,yes,2
none,36,critical account,car (used),11054,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,2,car OR other,30,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,6,existing AND duly paid,radio OR tv,518, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,1,real estate,29,none,own,1,skilled employed OR official ,1,no,yes,1
none,12,none OR duly paid,furniture,2759, ... < 100,7y <= ...,2,male : single,none,4,society savings agreement OR life insurance,34,none,own,2,skilled employed OR official ,1,no,yes,1
none,24,existing AND duly paid,car (used),2670, ... < 100,7y <= ...,4,male : single,none,4,car OR other,35,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,24,existing AND duly paid,car (new),4817, ... < 100,4 <= ... < 7y,2,male : single,co-applicant,3,society savings agreement OR life insurance,31,none,own,1,skilled employed OR official ,1,yes,yes,2
none,24,existing AND duly paid,car (used),2679, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,none OR unknown,29,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,11,critical account,car (new),3905, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,36,none,rent,2,skilled employed OR official ,2,no,yes,1
negative,12,existing AND duly paid,car (used),3386, ... < 100,7y <= ...,3,male : single,none,4,none OR unknown,35,none,for free,1,skilled employed OR official ,1,yes,yes,2
negative,6,existing AND duly paid,domestic appliances,343, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,real estate,27,none,own,1,skilled employed OR official ,1,no,yes,1
none,18,existing AND duly paid,radio OR tv,4594, ... < 100, ... < 1y,3,male : single,none,2,car OR other,32,none,own,1,skilled employed OR official ,1,yes,yes,1
negative,36,existing AND duly paid,furniture,3620, ... < 100,1 <= ... < 4y,1,male : single,guarantor,2,society savings agreement OR life insurance,37,none,own,1,skilled employed OR official ,2,no,yes,1
negative,15,existing AND duly paid,car (new),1721, ... < 100, ... < 1y,2,male : single,none,3,real estate,36,none,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,furniture,3017, ... < 100, ... < 1y,3,female : married OR separated OR divorced,none,1,real estate,34,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,retraining,754,unknown OR no savings account,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,38,none,own,2,skilled employed OR official ,1,no,yes,1
none,18,existing AND duly paid,business,1950, ... < 100,4 <= ... < 7y,4,male : single,none,1,car OR other,34,stores,own,2,skilled employed OR official ,1,yes,yes,1
negative,24,existing AND duly paid,car (used),2924, ... < 100,1 <= ... < 4y,3,male : single,guarantor,4,none OR unknown,63,bank,own,1,skilled employed OR official ,2,yes,yes,1
negative,24,delayed,radio OR tv,1659, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,2,car OR other,29,none,rent,1,unskilled - resident,1,yes,yes,2
none,48,delayed,radio OR tv,7238,unknown OR no savings account,7y <= ...,3,male : single,none,3,car OR other,32,bank,own,2,skilled employed OR official ,2,no,yes,1
none,33,delayed,business,2764, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,car OR other,26,none,own,2,skilled employed OR official ,1,yes,yes,1
none,24,delayed,car (used),4679, ... < 100,4 <= ... < 7y,3,male : single,none,3,car OR other,35,none,own,2,unskilled - resident,1,yes,yes,1
 0 <= ... <= 200,24,existing AND duly paid,radio OR tv,3092,100 <= ... < 500, ... < 1y,3,male : married,none,2,car OR other,22,none,rent,1,skilled employed OR official ,1,yes,yes,2
negative,6,existing AND duly paid,education,448, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,23,none,own,1,skilled employed OR official ,1,no,yes,2
negative,9,existing AND duly paid,car (new),654, ... < 100,1 <= ... < 4y,4,male : single,none,3,car OR other,28,none,own,1,unskilled - resident,1,no,yes,2
none,6,existing AND duly paid,retraining,1238,unknown OR no savings account,unemployed,4,male : single,none,4,society savings agreement OR life insurance,36,none,own,1,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
 0 <= ... <= 200,18,critical account,radio OR tv,1245, ... < 100,1 <= ... < 4y,4,male : married,none,2,car OR other,33,none,own,1,skilled employed OR official ,1,no,yes,2
negative,18,none OR duly paid,furniture,3114, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,26,none,rent,1,skilled employed OR official ,1,no,yes,2
none,39,existing AND duly paid,car (used),2569,500 <= ... < 1000,1 <= ... < 4y,4,male : single,none,4,car OR other,24,none,own,1,skilled employed OR official ,1,no,yes,1
200 < ...,24,existing AND duly paid,radio OR tv,5152, ... < 100,4 <= ... < 7y,4,male : single,none,2,car OR other,25,bank,own,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,business,1037,100 <= ... < 500,4 <= ... < 7y,3,male : single,none,4,real estate,39,none,own,1,unskilled - resident,1,no,yes,1
negative,15,critical account,furniture,1478, ... < 100,7y <= ...,4,male : single,none,4,car OR other,44,none,own,2,skilled employed OR official ,2,yes,yes,1
 0 <= ... <= 200,12,critical account,radio OR tv,3573, ... < 100,1 <= ... < 4y,1,female : married OR separated OR divorced,none,1,real estate,23,none,own,1,unskilled - resident,1,no,yes,1
